Item;Country;Region;Hemisphere;HappinessScore;HDI;GDP_PerCapita;Beer_PerCapita;Spirit_PerCapita;Wine_PerCapita
83;;Western Europe;north;5.033;868.0;17.882;133.0;;218.0
84;Mongolia;Eastern Asia;noth;;743.0;3.694;77.0;;8.0
85;Nigeria;Sub-Saharan Africa;north;4.875;530.0;2.176;;5.0;2.0
86;Honduras;;north;4.871;614.0;2.375;69.0;;
87;Zambia;Sub-Saharan Africa;;4.795;;1.263;32.0;19.0;4.0
88;Albania;Central and Eastern Europe;north;;782.0;4.132;89.0;132.0;
89;Sierra Leone;;north;4.635;413.0;;25.0;3.0;
90;;Sub-Saharan Africa;south;4.574;645.0;4.561;;3.0;1.0
91;Cameroon;Sub-Saharan Africa;south;4.513;553.0;1.375;147.0;;
92;South Africa;Sub-Saharan Africa;south;4.459;696.0;;225.0;76.0;81.0
93;;Middle East and Northern Africa;north;4.362;;3.548;6.0;4.0;1.0
94;;Central and Eastern Europe;north;4.36;749.0;3.606;21.0;179.0;11.0
95;;Sub-Saharan Africa;both;4.356;;1.463;;22.0;2.0
96;Ukraine;Central and Eastern Europe;north;;746.0;;206.0;;
97;;;north;4.276;;1.517;31.0;3.0;10.0
98;Dem. Rep. Congo;Sub-Saharan Africa;south;4.272;452.0;;32.0;3.0;
99;Georgia;Central and Eastern Europe;north;;776.0;3.866;52.0;100.0;
100;;Sub-Saharan Africa;;4.236;612.0;498.0;76.0;1.0;
101;Senegal;Sub-Saharan Africa;north;;;953.0;;;
102;Bulgaria;Central and Eastern Europe;north;4.217;;7.469;231.0;252.0;94.0
103;Zimbabwe;Sub-Saharan Africa;south;4.193;532.0;1.029;64.0;18.0;4.0
104;;Sub-Saharan Africa;south;4.156;474.0;300.0;8.0;11.0;1.0
105;Gabon;Sub-Saharan Africa;south;4.121;;7.079;347.0;98.0;59.0
106;;Sub-Saharan Africa;north;4.073;421.0;780.0;5.0;;
107;Haiti;;north;4.028;496.0;735.0;1.0;;1.0
108;Botswana;Sub-Saharan Africa;south;;;6.954;173.0;35.0;35.0
109;Comoros;Sub-Saharan Africa;south;3.956;502.0;775.0;;3.0;1.0
110;Cote d'Ivoire;Sub-Saharan Africa;;3.916;486.0;1.535;;1.0;7.0
111;Cambodia;Southeastern Asia;north;3.907;576.0;1.27;57.0;;1.0
112;Angola;Sub-Saharan Africa;;3.866;;3.309;217.0;57.0;45.0
113;Niger;Sub-Saharan Africa;;3.856;351.0;;3.0;2.0;1.0
114;Chad;Sub-Saharan Africa;north;3.763;405.0;651.0;15.0;1.0;1.0
115;Burkina Faso;Sub-Saharan Africa;north;3.739;;614.0;25.0;7.0;
116;Madagascar;Sub-Saharan Africa;south;3.695;;402.0;;15.0;4.0
117;;;south;3.666;533.0;878.0;36.0;;
118;Liberia;;north;3.622;432.0;455.0;19.0;152.0;2.0
119;Benin;;north;3.484;512.0;789.0;34.0;4.0;
120;Togo;;north;;500.0;577.0;36.0;2.0;19.0
121;Syria;Middle East and Northern Africa;north;3.069;;;5.0;35.0;16.0
