area;upm;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;periodo
1;010150007601;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2712;310,747813310026;202104
1;010150007601;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;170,345449812423;202104
1;010150008202;2;1;3;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;1;2;1;2;2;2713;117,407709172678;202104
1;010150008202;2;2;2;3;2;2;2;2;3;2;3;3;3;3;3;2;2;2;2;3;3;3;3;2713;186,604136819548;202104
1;010150008202;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;3;3;2713;126,394053590979;202104
1;010150008202;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2713;236,973562829871;202104
1;010150008202;2;2;2;2;3;2;3;3;2;3;3;2;2;3;3;2;2;2;2;3;3;2;3;2713;265,292295104275;202104
1;010150008202;2;3;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2;2;2;3;2;2;2;2713;184,805163802005;202104
1;010150008202;2;2;2;3;2;2;2;3;2;2;2;3;2;2;3;2;2;2;2;2;2;2;3;2713;101,306324315478;202104
1;010150009903;2;2;2;2;3;2;2;2;2;2;3;2;3;2;3;2;2;2;2;3;2;3;3;2713;108,854567699048;202104
1;010150009903;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;3;1;3;1;2713;126,155652303878;202104
1;010150009903;3;2;1;2;3;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;3;3;2;2713;126,155652303878;202104
1;010150009903;1;2;3;2;2;2;2;2;3;2;3;2;1;1;3;3;1;1;1;3;2;3;3;2713;101,115242872783;202104
1;010150009903;3;3;1;2;3;1;2;2;1;2;3;2;3;2;3;2;2;2;2;3;1;2;2;2713;93,9261673381423;202104
1;010150009903;2;2;1;2;3;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2713;101,115242872783;202104
1;010150009903;2;2;1;1;3;2;2;2;1;2;3;2;1;2;3;2;2;2;2;2;2;3;2;2713;81,0450594523827;202104
1;010150010102;2;2;2;2;2;2;2;2;1;2;3;2;3;3;2;3;2;2;2;3;2;2;2;2713;128,935321856063;202104
1;010150010102;2;2;1;2;2;2;2;2;1;2;3;2;3;2;2;2;2;2;2;3;2;2;2;2713;285,384956808126;202104
1;010150010102;3;2;1;2;2;2;2;2;2;2;3;2;3;3;3;3;2;2;2;3;2;3;2;2713;191,183451129909;202104
1;010150010102;3;2;1;2;2;2;2;2;1;2;3;2;3;3;2;3;2;2;2;2;2;3;2;2713;173,177721339394;202104
1;010150010102;3;2;1;2;2;2;2;2;2;2;3;2;3;2;2;3;2;2;2;3;3;3;3;2713;160,865159115791;202104
1;010150010102;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2713;220,744810418039;202104
1;010150010102;3;2;1;2;2;2;2;2;1;3;3;2;3;2;3;2;2;2;2;3;2;3;3;2713;160,865159115791;202104
1;010150010702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;181,889721802376;202104
1;010150010702;3;2;1;2;2;2;2;2;1;1;2;2;3;2;2;2;2;2;2;3;3;3;3;2713;110,3075376794;202104
1;010150010702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;206,813291196978;202104
1;010150010702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;110,3075376794;202104
1;010150010702;3;3;1;1;4;2;4;2;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;118,75043748987;202104
1;010150010702;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;102,464909823428;202104
1;010150011002;2;2;1;2;3;2;2;2;1;2;3;2;3;3;3;2;2;2;2;3;3;3;3;2713;85,0392343212758;202104
1;010150011002;2;2;2;2;2;2;2;2;1;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2713;167,936683727721;202104
1;010150011002;2;2;2;2;3;2;2;2;1;2;3;2;3;2;3;3;2;2;2;3;2;3;2;2713;123,202164678891;202104
1;010150011002;2;2;2;2;3;2;2;2;2;2;3;2;3;2;3;2;2;2;2;3;2;3;3;2713;94,9870463350385;202104
1;010150011002;2;2;2;2;3;2;2;2;1;2;3;2;2;3;2;3;2;2;2;3;2;3;3;2713;119,504004111409;202104
1;010150011002;2;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2713;126,661576771443;202104
1;010150011002;3;2;2;2;2;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;2;2;2713;94,9870463350385;202104
1;010150011202;2;2;2;2;3;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;3;3;2;2712;121,220920694408;202104
1;010150011202;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;1;2;2;2712;214,318059201831;202104
1;010150011202;2;2;2;2;2;2;2;2;3;2;3;2;2;2;3;2;2;2;2;2;2;3;2;2712;161,643440292721;202104
1;010150011202;2;2;2;2;2;2;2;2;3;2;3;2;3;3;3;2;2;2;2;2;1;3;1;2712;158,977432712205;202104
1;010150011202;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;121,220920694408;202104
1;010150011202;3;2;2;2;4;2;4;2;2;2;3;2;3;2;3;2;2;2;2;3;3;3;3;2712;97,1599973004192;202104
1;010150011202;2;2;2;2;4;2;4;2;1;2;3;3;3;3;3;3;2;2;2;3;2;3;2;2712;97,1599973004192;202104
1;010150011701;2;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;3;3;3;3;2712;262,609861392654;202104
1;010150011701;3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;142,362683967408;202104
1;010150011701;3;3;3;2;3;2;2;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;209,315932403829;202104
1;010150011701;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;142,362683967408;202104
1;010150011701;2;2;1;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;3;3;3;2712;142,362683967408;202104
1;010150011701;2;1;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2712;203,627720384265;202104
1;010150011701;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;233,80151912927;202104
1;010150014401;2;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;1;3;3;3;3;2711;127,21781493123;202104
1;010150014401;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2711;186,359216194121;202104
1;010150014401;3;3;3;2;3;2;3;1;1;2;3;3;3;2;3;2;2;2;2;3;2;3;2;2711;142,099638807447;202104
1;010150014401;2;3;2;2;2;1;2;1;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;142,099638807447;202104
1;010150014401;3;2;3;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;1;2711;189,484408711048;202104
1;010150014401;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2711;178,478311997453;202104
1;010150014401;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;2;2;2;2711;251,23154178368;202104
1;010150014901;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;2;3;2;2712;189,913418214024;202104
1;010150014901;2;2;2;2;3;2;3;2;2;2;3;2;3;3;3;3;2;2;2;3;3;3;3;2712;318,774713635439;202104
1;010150014901;1;2;2;2;3;2;3;2;3;2;3;3;3;3;3;3;2;2;2;2;2;3;3;2712;170,024148506442;202104
1;010150014901;3;1;2;2;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;2;2;3;1;2712;170,024148506442;202104
1;010150014901;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;3;2;2;2;2;2;2;2;2712;212,129316538635;202104
1;010150014901;2;2;2;2;3;2;3;1;1;2;3;3;3;3;3;3;2;2;2;3;1;3;3;2712;170,024148506442;202104
1;010150014901;3;3;2;2;4;2;4;2;1;1;3;3;3;3;3;3;2;2;2;3;2;3;2;2712;212,129316538635;202104
1;010150015301;2;2;2;1;2;1;3;1;1;2;2;1;3;1;3;2;2;2;2;3;2;3;3;2712;200,658629147806;202104
